Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1511707039,2017-11-26T14:37:19Z,UAE205,"45.631737,8.715334",0,0,258
1511707103,2017-11-26T14:38:23Z,UAE205,"45.631783,8.715541",0,2,261
1511707123,2017-11-26T14:38:43Z,UAE205,"45.631851,8.715842",0,10,270
1511707172,2017-11-26T14:39:32Z,UAE205,"45.631874,8.716563",0,9,320
1511707187,2017-11-26T14:39:47Z,UAE205,"45.631805,8.716776",0,9,337
1511707208,2017-11-26T14:40:08Z,UAE205,"45.631577,8.716914",0,9,348
1511707295,2017-11-26T14:41:35Z,UAE205,"45.631371,8.716965",0,0,348
1511707514,2017-11-26T14:45:14Z,UAE205,"45.631596,8.71693",0,12,348
1511707526,2017-11-26T14:45:26Z,UAE205,"45.631817,8.716862",0,14,348
1511707545,2017-11-26T14:45:45Z,UAE205,"45.632309,8.71673",0,18,348
1511707553,2017-11-26T14:45:53Z,UAE205,"45.632599,8.716707",0,21,357
1511707569,2017-11-26T14:46:09Z,UAE205,"45.632881,8.717299",0,16,56
1511707578,2017-11-26T14:46:18Z,UAE205,"45.632893,8.717601",0,15,73
1511707586,2017-11-26T14:46:26Z,UAE205,"45.632923,8.717909",0,16,78
1511707595,2017-11-26T14:46:35Z,UAE205,"45.632957,8.718252",0,17,78
1511707601,2017-11-26T14:46:41Z,UAE205,"45.632996,8.718489",0,18,78
1511707607,2017-11-26T14:46:47Z,UAE205,"45.63303,8.718757",0,19,78
1511707613,2017-11-26T14:46:53Z,UAE205,"45.633076,8.719025",0,19,78
1511707619,2017-11-26T14:46:59Z,UAE205,"45.633087,8.719316",0,20,84
1511707626,2017-11-26T14:47:06Z,UAE205,"45.632996,8.719561",0,21,101
1511707634,2017-11-26T14:47:14Z,UAE205,"45.632641,8.719778",0,26,149
1511707641,2017-11-26T14:47:21Z,UAE205,"45.63232,8.719797",0,28,168
1511707650,2017-11-26T14:47:30Z,UAE205,"45.631805,8.719934",0,33,168
1511707658,2017-11-26T14:47:38Z,UAE205,"45.631199,8.720113",0,16,168
1511707670,2017-11-26T14:47:50Z,UAE205,"45.630249,8.720381",0,18,168
1511707682,2017-11-26T14:48:02Z,UAE205,"45.629185,8.720683",0,21,168
1511707688,2017-11-26T14:48:08Z,UAE205,"45.62859,8.720834",0,22,171
1511707695,2017-11-26T14:48:15Z,UAE205,"45.627945,8.721033",0,23,168
1511707701,2017-11-26T14:48:21Z,UAE205,"45.627327,8.721205",0,24,168
